pseudo,name,nationality,birthdate,role,team
yuurih,Yuri Gomes dos Santos Boian,Brazil,1999-12-22,rifler,FURIA
KSCERATO,Kaike Silva Cerato,Brazil,1999-09-12,lurker,FURIA
FalleN,Gabriel Toledo de Alcântara Sguario,Brazil,1991-05-30,in-game leader,FURIA
molodoy,Danil Golubenko,Kazakhstan,2005-01-10,AWPer,FURIA
YEKINDAR,Mareks Gaļinskis,Latvia,1999-10-04,entry,FURIA
apEX,Dan Madesclaire,France,1993-02-22,in-game leader,Team Vitality
ZywOo,Mathieu Herbaut,France,2000-11-09,AWPer,Team Vitality
flameZ,Shahar Shushan,Israel,2003-06-22,entry,Team Vitality
mezii,William Merriman,United Kingdom,1998-10-15,rifler,Team Vitality
ropz,Robin Kool,Estonia,1999-12-22,lurker,Team Vitality
NiKo,Nikola Kovač,Bosnia and Herzegovina,1997-02-16,entry,Team Falcons
TeSeS,René Stensig Madsen,Denmark,2002-12-12,entry,Team Falcons
kyxsan,Damjan Stoilkovski,North Macedonia,2000-05-26,in-game leader,Team Falcons
m0NESY,Ilya Osipov,Russia,2005-05-01,AWPer,Team Falcons
kyousuke,Maksim Lukin,Russia,2008-01-30,entry,Team Falcons
bLitz,Garidmagnai Byambasuren,Mongolia,2001-06-26,in-game leader,The MongolZ
Techno4K,Sodbayar Munkhbold,Mongolia,2005-05-20,rifler,The MongolZ
910,Usukhbayar Banzragch,Mongolia,2002-07-05,AWPer,The MongolZ
mzinho,Ayush Batbold,Mongolia,2007-06-28,rifler,The MongolZ
Senzu,Azbayar Munkhbold,Mongolia,2006-08-11,rifler,The MongolZ
torzsi,Ádám Torzsás,Hungary,2002-05-17,AWPer,MOUZ
xertioN,Dorian Berman,Israel,2004-07-22,entry,MOUZ
Jimpphat,Jimi Joonas Salo,Finland,2006-09-09,support,MOUZ
Brollan,Ludvig William Brolin,Sweden,2002-06-17,in-game leader,MOUZ
Spinx,Lotan Giladi,Israel,2000-09-13,lurker,MOUZ
chopper,Leonid Vishnyakov,Russia,1997-02-04,in-game leader,Team Spirit
zont1x,Myroslav Plakhotia,Ukraine,2005-07-20,rifler,Team Spirit
donk,Danil Kryshkovets,Russia,2007-01-25,entry,Team Spirit
sh1ro,Dmitriy Eduardovich Sokolov,Russia,2001-07-15,AWPer,Team Spirit
zweih,Ivan Gogin,Russia,2007-09-19,rifler,Team Spirit
huNter-,Nemanja Kovač,Bosnia and Herzegovina,1996-01-03,lurker,G2 Esports
malbsMd,Mario Alberto Samayoa Díaz,Guatemala,2002-10-17,entry,G2 Esports
HeavyGod,Nikita Martynenko,Israel,2002-07-24,rifler,G2 Esports
SunPayus,Álvaro Fernández García,Spain,1998-11-19,AWPer,G2 Esports
matys,Matúš Šimko,Slovakia,2002-04-21,rifler,G2 Esports
biguzera,Rodrigo Barbosa Bittencourt Papelbaum,Brazil,1997-02-18,in-game leader,paiN Gaming
nqz,Lucas Soares Assumpção e Silva,Brazil,2005-01-18,AWPer,paiN Gaming
snow,João Vinicius Bueno Filho,Brazil,2007-03-22,support,paiN Gaming
dav1deuS,David Tapia Maldonado,Chile,2000-06-07,rifler,paiN Gaming
dgt,Franco Manuel Garcia Cabrera,Uruguay,2001-05-12,lurker,paiN Gaming
XANTARES,İsmailсan Dörtkardeş,Turkey,1995-08-07,entry,Aurora Gaming
MAJ3R,Engin Küpeli,Turkey,1991-01-25,in-game leader,Aurora Gaming
Wicadia,Ali Haydar Yalçın,Turkey,2005-03-04,rifler,Aurora Gaming
woxic,Özgür Eker,Turkey,1998-09-02,AWPer,Aurora Gaming
jottAAA,Samet Köklü,Turkey,2002-07-15,rifler,Aurora Gaming
b1t,Valerii Yevheniiovych Vakhovskyi,Ukraine,2003-01-05,support,Natus Vincere
Aleksib,Aleksi Antti Kaarlo Virolainen,Finland,1997-03-30,in-game leader,Natus Vincere
iM,Mihai Ivan,Romania,1999-07-29,entry,Natus Vincere
w0nderful,Ihor Zhdanov,Ukraine,2004-12-14,AWPer,Natus Vincere
makazze,Drin Shaqiri,Kosovo,2006-12-21,rifler,Natus Vincere
NAF,Keith Jordan Markovic,Canada,1997-11-24,rifler,Team Liquid
ultimate,Roland Tomkowiak,Poland,2003-11-29,AWPer,Team Liquid
NertZ,Guy Iluz,Israel,1999-07-12,rifler,Team Liquid
siuhy,Kamil Tomasz Szkaradek,Poland,2002-08-26,in-game leader,Team Liquid
EliGE,Jonathan David Jablonowski,United States,1997-07-16,entry,Team Liquid
Lucky,Lucas Chastang,France,1998-04-06,entry,3DMAX
Ex3rcice,Pierre Bulinge,France,2000-02-04,rifler,3DMAX
Maka,Bryan Canda,France,1997-07-06,in-game leader,3DMAX
Graviti,Filip Branković,France,2003-11-08,rifler,3DMAX
bodyy,Alexandre Pierre Pianaro,France,1997-01-08,rifler,3DMAX
dev1ce,Nicolai Hvilshøj Reedtz,Denmark,1995-09-08,AWPer,Astralis
Staehr,Victor Staehr Hansen,Denmark,2004-07-19,rifler,Astralis
jabbi,Jakob Nygaard Sørensen,Denmark,2003-07-23,rifler,Astralis
HooXi,Rasmus Pallisgaard Nielsen,Denmark,1995-05-21,in-game leader,Astralis
Magisk,Emil Hoffmann Reif,Denmark,1998-03-05,rifler,Astralis
Attacker,Sheng Yuanzhang,China,1997-01-07,rifler,TYLOO
JamYoung,Yang Yi,China,2001-07-23,rifler,TYLOO
Moseyuh,Chen Qianhao,China,2004-12-21,in-game leader,TYLOO
Mercury,Wang Jingxiang,China,2000-12-15,in-game leader,TYLOO
Jee,Ji Dongkai,China,2004-12-21,AWPer,TYLOO
exit,Raphael Marques de Lacerda,Brazil,1996-08-29,in-game leader,MIBR
brnz4n,Breno Augusto de Oliveira Poletto,Brazil,2003-08-26,entry,MIBR
insani,Felipe Yuji Tasaka Kuratani,Brazil,2004-04-25,support,MIBR
kl1m,Klimentii Krivosheev,Russia,2005-10-03,AWPer,MIBR
Qikert,Aleksei Golubev,Kazakhstan,1999-01-01,rifler,MIBR
Kvem,Vladyslav Korol,Ukraine,2001-08-29,rifler,Passion UA
JT,Ioannis Theodosiou,South Africa,1999-04-09,in-game leader,Passion UA
Grim,Michael Vance Wince,United States,2000-11-22,entry,Passion UA
hallzerk,Håkon Fjærli,Norway,2000-07-14,AWPer,Passion UA
nicx,Nicholas Lee,United States,2004-11-29,rifler,Passion UA
latto,Bruno Rebelatto,Brazil,2002-12-21,rifler,Legacy
dumau,Eduardo Araujo Wolkmer da Silva,Brazil,2003-11-09,rifler,Legacy
saadzin,Guilherme Pacheco de Rosa,Brazil,2004-05-14,AWPer,Legacy
n1ssim,Vinicius Pereira,Brazil,2001-04-27,rifler,Legacy
lux,Lucas Christofoletti Meneghini,Brazil,2002-04-18,in-game leader,Legacy
rain,Håvard Liset Nygaard,Norway,1994-08-27,entry,FaZe Clan
broky,Helvijs Saukants,Latvia,2001-02-14,AWPer,FaZe Clan
karrigan,Finn Andersen,Denmark,1990-04-14,in-game leader,FaZe Clan
frozen,David Čerňanský,Slovakia,2002-07-18,rifler,FaZe Clan
jcobbb,Jakub Pietruszewski,Poland,2004-01-27,rifler,FaZe Clan
npl,Andrii Kukharskyi,Ukraine,2005-07-21,in-game leader,B8
esenthial,Dmytro Tsvir,Ukraine,2006-02-26,rifler,B8
headtr1ck,Danyyl Valitov,Ukraine,2004-06-30,AWPer,B8
alex666,Oleksii Yarmoshchuk,Ukraine,2001-08-03,rifler,B8
kensizor,Artem Kapran,Ukraine,2006-02-02,rifler,B8
ztr,Erik Gustafsson,Sweden,2003-08-02,in-game leader,GamerLegion
Tauson,Sebastian Tauson Lindelof,Denmark,2005-08-17,rifler,GamerLegion
PR,Oldřich Nový,Czechia,2007-09-17,rifler,GamerLegion
REZ,Bo Fredrik Sterner,Sweden,1998-01-11,AWPer,GamerLegion
Kursy,Jeremy Gast,France,2001-08-17,AWPer,GamerLegion
KRIMZ,Lars Freddy Johansson,Sweden,1994-04-25,support,Fnatic
blameF,Benjamin Vang Bremer,Denmark,1997-06-10,lurker,Fnatic
fear,Rodion Smyk,Ukraine,2000-11-20,in-game leader,Fnatic
jambo,Dmytro Semera,Ukraine,2004-10-14,AWPer,Fnatic
CYPHER,Cai Watson,United Kingdom,2002-12-31,entry,Fnatic
BELCHONOKK,Andrey Yasinskiy,Russia,2004-01-14,rifler,PARIVISION
Jame,Dzhami Ali,Russia,1998-08-23,in-game leader,PARIVISION
nota,Emil Moskvitin,Russia,2007-04-28,rifler,PARIVISION
xiELO,Vladislav Lysov,Russia,2006-01-28,rifler,PARIVISION
AW,Andrey Anisimov,Russia,2006-01-11,rifler,PARIVISION
r1nkle,Artem Moroz,Ukraine,2004-10-27,AWPer,Ninjas in Pyjamas
ewjerkz,Michel Pinto Magalhães,Portugal,2000-09-24,rifler,Ninjas in Pyjamas
sjuush,Rasmus Beck,Denmark,1999-01-03,support,Ninjas in Pyjamas
Snappi,Marco Pfeiffer,Denmark,1990-06-09,in-game leader,Ninjas in Pyjamas
xKacpersky,Kacper Gabara,Poland,2006-10-22,rifler,Ninjas in Pyjamas
VINI,Vinicius de Almeida Figueiredo,Brazil,1999-05-20,in-game leader,Imperial Esports
noway,Kaiky José dos Santos,Brazil,2005-05-12,rifler,Imperial Esports
try,Santino Rigal Bruno,Argentina,2004-09-23,AWPer,Imperial Esports
chelo,Marcelo Cespedes,Brazil,1998-06-08,entry,Imperial Esports
skullz,Felipe Frank Medeiros,Brazil,2002-04-20,rifler,Imperial Esports
INS,Joshua Potter,Australia,1998-09-22,in-game leader,FlyQuest
Vexite,Declan Portelli,Australia,2004-09-05,rifler,FlyQuest
regali,Iulian Harjău,Romania,2002-08-26,AWPer,FlyQuest
nettik,Corey Browne,New Zealand,2003-07-30,rifler,FlyQuest
jks,Justin Kyle Savage,Australia,1995-12-12,rifler,FlyQuest
westmelon,Niu Zhe,China,2001-02-04,in-game leader,Lynn Vision Gaming
z4kr,Zhang Sike,China,2002-11-14,entry,Lynn Vision Gaming
EmiliaQAQ,Tang Junjie,China,2004-08-23,rifler,Lynn Vision Gaming
Starry,Ye Lizhi,China,2005-01-03,rifler,Lynn Vision Gaming
C4LLM3SU3,Su Qihao,China,2004-03-09,rifler,Lynn Vision Gaming
Swisher,Michael Bradly Schmid,United States,1998-09-17,entry,M80
slaxz-,Fritz Vincent Dietrich,Germany,1998-11-25,AWPer,M80
s1n,Elias Leonhard Etienne Stein,Germany,2002-03-18,in-game leader,M80
Lake,Mason David Sanderson,United States,2004-10-19,rifler,M80
HexT,Jadan Postma,Canada,2001-10-30,entry,M80
zevy,Romeu Reinaldo Rocco Junior,Brazil,2001-05-30,AWPer,Fluxo
arT,Andrei Felipe Piovezan Machado,Brazil,1996-03-27,in-game leader,Fluxo
kye,Kayke de Freitas Bertolucci,Brazil,2004-10-15,support,Fluxo
decenty,Lucas Bacelar Sardinha Soares,Brazil,2004-03-01,lurker,Fluxo
Lucaozy,Lucas Perboni Neves,Brazil,2001-10-16,rifler,Fluxo
venomzera,Carlos Eduardo Dias Junior,Brazil,2004-08-19,rifler,RED Canids
drop,André Wagner de Abreu,Brazil,2004-01-15,in-game leader,RED Canids
kauez,Kaue Rian Kaschuk,Brazil,2003-05-08,lurker,RED Canids
history,Allan Lawrenz Santi Botton,Brazil,2004-06-08,AWPer,RED Canids
chayJESUS,Richard Seidy de Almeida Yoshita,Brazil,2001-08-17,rifler,RED Canids
nin9,Yesuntumur Gantulga,Mongolia,1998-04-03,in-game leader,The Huns Esports
Bart4k,Baatarkhuu Batbold,Mongolia,2004-05-29,rifler,The Huns Esports
cobrazera,Anarbileg Uuganbayar,Mongolia,2005-08-03,rifler,The Huns Esports
xerolte,Munkhtogtokh Enkhbat,Mongolia,2003-05-03,rifler,The Huns Esports
sk0R,Tengis Batjargal,Mongolia,2002-05-12,rifler,The Huns Esports
nitr0,Nicholas Cannella,United States,1995-08-16,in-game leader,NRG
Jeorge,Jeorge Endicott,United States,2003-04-14,rifler,NRG
br0,Alexander Talevski Bro,Denmark,2002-05-04,rifler,NRG
XotiC,Zechrie Elshani,United States,2001-02-02,AWPer,NRG
Sonic,Aran Groesbeek,South Africa,1998-12-02,lurker,NRG
Summer,Cai Yulun,China,1997-05-16,in-game leader,Rare Atom
L1haNg,Li Yihang,China,2003-11-14,rifler,Rare Atom
ChildKing,Peng Junhao,China,2000-02-22,rifler,Rare Atom
TiGeR,Zheng Junbin,China,2003-06-30,AWPer,Rare Atom
Marek,Huang Tzu-chi,Taiwan,1993-08-22,rifler,Rare Atom
